LineStarId,Name,Position,Team,Salary,Projected,Scored,IsOverridden,OppRank,OppRankTotal,Ceiling,Floor,StartingStatus,Consistency,ProjOwn,Consensus,Leverage,Safety,AlertScore,SIC,PPG,VersusStr,DFS_ID,Vegas,VegasML,VegasTotals,VegasImplied
1210469,DeAndre Jordan,C,DEN,4400,7.6,0,0,21,30,25.75,0,2,59,0.42,0,25,0,3,0,15.19,vs BKN,9561,-9.5,-500,229.0,119.3,
1210470,Haywood Highsmith,PF,MIA,4300,4.38,0,0,30,30,28.15,3.21,2,57.99999999999999,1.32,0,14,0,0,0,16.65,vs CHI,102025,0,0,0.0,0.0,
1210471,Dean Wade,PF/SF,CLE,4300,18.21,0,0,6,30,21.21,5.62,1,72,4.04,0,58,4,5,0,13.74,@BOS,110883,8.5,300,226.0,108.8,
1210472,Isaiah Joe,PG,OKC,4300,15.09,0,0,1,30,25.57,11.16,2,74,0.68,0,50,1,-2,0,17.48,@SAC,145330,2,110,243.0,120.5,
1210473,Craig Porter,PG,CLE,4200,5.28,0,0,24,30,28.67,1.93,2,48,1.7,0,18,0,5,0,15.3,@BOS,189467,8.5,300,226.0,108.8,
1210474,Sam Hauser,SF,BOS,4200,14.95,0,0,24,30,23.47,12.26,2,76,1.98,0,50,1,1,0,17,vs CLE,158854,-8.5,-400,226.0,117.3,
1210475,Cason Wallace,PG/SG,OKC,4200,13.42,0,0,16,30,24.03,7.52,1,81,1.96,0,45,1,0,0,15.25,@SAC,188415,2,110,243.0,120.5,
1210476,Georges Niang,PF,CLE,4100,10.54,0,0,11,30,22.11,9.71,2,78,0.9,0,36,0,2,0,15.03,@BOS,23156,8.5,300,226.0,108.8,
1210477,Trendon Watford,PF,BKN,4100,11.7,0,0,5,30,22.73,7.32,2,78,0.18,0,40,0,-3,0,15.02,@DEN,158856,9.5,360,229.0,109.8,
1210478,Troy Brown,SF,MIN,4100,14.77,0,0,19,30,20.56,4.88,1,77,3.84,0,49,3,4,0,11.64,@DAL,84668,0,0,0.0,0.0,
1210479,Jaden Hardy,SG,DAL,4100,8.54,0,0,7,30,18.37,3.75,2,64,3.9,0,28,2,1,0,11.01,vs MIN,171791,0,0,0.0,0.0,
1210480,Trey Lyles,PF,SAC,4000,16.16,0,0,9,30,22.73,9.62,2,80,2.82,0,55,2,-1,0,17.14,vs OKC,58461,-2,-130,243.0,122.5,
1210481,Bones Hyland,PG,LAC,4000,0,0,0,12,30,22.26,4.08,2,73,0,0,0,0,0,0,12.58,vs GS,157834,0,0,0.0,0.0,
1210482,Shake Milton,PG,MIN,4000,13.34,0,0,21,30,18.54,7.1,2,76,0.42,0,47,0,3,0,12.03,@DAL,84691,0,0,0.0,0.0,
1210483,Christian Braun,SG,DEN,4000,13.45,0,0,15,30,25.51,7.24,2,70,0.88,0,47,1,2,0,17.38,vs BKN,171744,-9.5,-500,229.0,119.3,
1210484,Thomas Bryant,C,MIA,4000,5.43,0,0,23,30,18.63,3.81,2,69,4.12,0,18,1,-2,0,11.97,vs CHI,67312,0,0,0.0,0.0,
1210485,Payton Pritchard,PG,BOS,4000,14.3,0,0,9,30,24.58,7.38,2,64,1.36,0,49,1,-1,0,15.01,vs CLE,145335,-8.5,-400,226.0,117.3,
1210486,Tre Mann,PG,OKC,3900,4.14,0,0,1,30,25.12,0,2,71,1.84,0,15,0,-1,0,9.8,@SAC,157831,2,110,243.0,120.5,
1210487,Gary Payton,SG,GS,3900,0,0,0,24,30,22.32,7.67,4,75,0,0,0,0,0,0,14.95,@LAC,58519,0,0,0.0,0.0,
1210488,Peyton Watson,SG,DEN,3900,9.93,0,0,15,30,18.01,4.67,2,74,0.42,0,35,0,5,0,12.23,vs BKN,171761,-9.5,-500,229.0,119.3,
1210489,Ousmane Dieng,PF,OKC,3900,4.56,0,0,20,30,21.31,0,2,52,2.06,0,16,0,3,0,7.92,@SAC,171795,2,110,243.0,120.5,
1210490,Skylar Mays,PG/SG,POR,3900,0,0,0,15,30,35.36,5.52,2,68,0,0,0,0,0,0,18.31,vs UTA,145303,0,0,0.0,0.0,
1210491,Sasha Vezenkov,PF,SAC,3900,12.79,0,0,9,30,18.47,4.43,2,68,0.34,0,45,0,0,0,12.16,vs OKC,80829,-2,-130,243.0,122.5,
1210492,Isaac Okoro,SF/SG,CLE,3900,11.16,0,0,2,30,26.7,5.59,2,78,1.08,0,39,1,0,0,15.87,@BOS,145341,8.5,300,226.0,108.8,
1210493,Taylor Hendricks,PF,UTA,3900,11.83,0,0,2,30,20.35,4.89,2,95,0.74,0,42,0,-3,0,12.62,@POR,188411,0,0,0.0,0.0,
1210494,Moses Brown,C,POR,3800,3.17,0,0,8,30,22.63,2.22,2,45,0.26,0,12,0,2,0,9.73,vs UTA,117286,0,0,0.0,0.0,
1210495,Luka Samanic,PF,UTA,3800,6.16,0,0,2,30,20.52,1.58,2,60,0.28,0,22,0,-2,0,6.75,@POR,110640,0,0,0.0,0.0,
1210496,Aaron Wiggins,SG,OKC,3800,8,0,0,29,30,17.21,3.21,2,68,1.84,0,29,1,4,0,9.61,@SAC,157829,2,110,243.0,120.5,
1210497,Tristan Thompson,C,CLE,3800,10,0,0,26,30,16.28,0.23,2,71,1.6,0,36,1,7,0,8.79,@BOS,14501,8.5,300,226.0,108.8,
1210498,Maxi Kleber,PF/C,DAL,3800,0,0,0,17,30,19.94,5.79,4,81,0,0,0,0,0,0,11.84,vs MIN,81621,0,0,0.0,0.0,
1210499,Jevon Carter,PG,CHI,3800,8.71,0,0,16,30,15.17,2.19,2,74,0.28,0,32,0,2,0,9.88,@MIA,84696,0,0,0.0,0.0,
1210500,Justin Holiday,SG,DEN,3800,3.46,0,0,15,30,21.02,1.73,2,69,2.38,0,12,0,2,0,9.74,vs BKN,16604,-9.5,-500,229.0,119.3,
1210501,Jaylin Williams,PF/C,OKC,3800,9.75,0,0,20,30,17.32,4.45,2,75,0.33,0,35,0,5,0,11.16,@SAC,171758,2,110,243.0,120.5,
1210502,Dwight Powell,C/PF,DAL,3800,7.95,0,0,14,30,20.22,3.65,2,76,0.39,0,29,0,0,0,12.04,vs MIN,16196,0,0,0.0,0.0,
1210503,Richaun Holmes,C,DAL,3800,4.46,0,0,14,30,16.18,0.93,2,59,2.71,0,16,1,0,0,9.39,vs MIN,23447,0,0,0.0,0.0,
1210504,Kobe Brown,PF,LAC,3700,7.2,0,0,1,30,11.57,0.59,2,52,0.28,0,27,0,1,0,6.08,vs GS,188418,0,0,0.0,0.0,
1210505,Olivier-Maxence Prosper,PF,DAL,3700,6.1,0,0,17,30,11.61,0,2,44,0.5,0,23,0,5,0,5.77,vs MIN,188424,0,0,0.0,0.0,
1210506,JaVale McGee,C,SAC,3700,6.55,0,0,15,30,18.33,3.2,2,66,0.18,0,24,0,1,0,10.99,vs OKC,9739,-2,-130,243.0,122.5,
1210507,Kris Murray,SF,POR,3700,6.99,0,0,30,30,13.24,0.53,2,51,0.64,0,26,0,8,0,6.88,vs UTA,188429,0,0,0.0,0.0,
1210508,Brandon Boston,SG,LAC,3700,0,0,0,9,30,19.16,1.61,2,51,0,0,0,0,0,0,9.7,vs GS,157805,0,0,0.0,0.0,
1210509,Davion Mitchell,PG,SAC,3700,7.18,0,0,13,30,17.77,1.36,2,78,0.18,0,27,0,0,0,9.51,vs OKC,157812,-2,-130,243.0,122.5,
1210510,Luke Kornet,C,BOS,3700,8.78,0,0,20,30,22.12,3.63,2,62,0.26,0,33,0,-1,0,12.54,vs CLE,41083,-8.5,-400,226.0,117.3,
1210511,Markieff Morris,PF,DAL,3700,5.11,0,0,17,30,13.33,0,2,40,0.2,0,19,0,5,0,6.67,vs MIN,14511,0,0,0.0,0.0,
1210512,Ty Jerome,PG,CLE,3700,0,0,0,24,30,21.73,6.8,4,72,0,0,0,0,0,0,4.35,@BOS,110331,8.5,300,226.0,108.8,
1210513,Nikola Jovic,PF,MIA,3700,0,0,0,30,30,14.38,0,2,56.00000000000001,0,0,0,0,0,0,13.27,vs CHI,171792,0,0,0.0,0.0,
1210514,Kenrich Williams,SF,OKC,3700,10.23,0,0,12,30,22.12,8.16,2,87,0.28,0,38,0,1,0,12.3,@SAC,85305,2,110,243.0,120.5,
1210515,Trayce Jackson-Davis,PF,GS,3600,0,0,0,4,30,17.08,0,2,47,0,0,0,0,0,0,7.47,@LAC,188450,0,0,0.0,0.0,
1210516,Jordan McLaughlin,PG,MIN,3600,3.94,0,0,21,30,13.38,0.02,2,73,2.34,0,15,0,2,0,4.33,@DAL,85597,0,0,0.0,0.0,
1210517,Joshua Primo,SG/PG,LAC,3600,0,0,0,9,30,20.41,10.71,2,81,0,0,0,0,0,0,17.15,vs GS,157813,0,0,0.0,0.0,
1210518,Chris Duarte,SF,SAC,3600,4.96,0,0,28,30,17.4,1.1,2,72,1.82,0,18,0,0,0,9.36,vs OKC,157828,-2,-130,243.0,122.5,
1210519,Keon Ellis,SG,SAC,3600,5.09,0,0,17,30,14.77,1.33,2,61,0.04,0,19,0,3,0,8.42,vs OKC,171669,-2,-130,243.0,122.5,
1210520,Cory Joseph,PG,GS,3600,3.57,0,0,6,30,20.34,2.83,2,76,0.22,0,14,0,1,0,7,@LAC,14529,0,0,0.0,0.0,
1210521,Davis Bertans,SF,OKC,3600,3.74,0,0,12,30,18.62,1.04,2,56.00000000000001,1.54,0,14,0,-1,0,7.75,@SAC,14543,2,110,243.0,120.5,
1210522,Dalen Terry,SG,CHI,3600,0,0,0,14,30,13.05,0.05,2,54,0,0,0,0,0,0,4.56,@MIA,171763,0,0,0.0,0.0,
1210523,A.J. Lawson,SG,DAL,3600,5.11,0,0,7,30,15.04,0.99,2,53,0.06,0,19,0,-1,0,5.72,vs MIN,160022,0,0,0.0,0.0,
1210524,Vasilije Micic,PG,OKC,3600,0,0,0,1,30,14.31,1.58,2,23,0,0,0,0,0,0,7.94,@SAC,55065,2,110,243.0,120.5,
1210525,Jamal Cain,SF,MIA,3600,4.21,0,0,19,30,22.64,0,2,46,3.06,0,15,1,-1,0,9.84,vs CHI,180555,0,0,0.0,0.0,
1210526,Zeke Nnaji,PF/C,DEN,3600,3.3,0,0,8,30,16.07,1.4,2,69,1.14,0,12,0,1,0,8.91,vs BKN,145305,-9.5,-500,229.0,119.3,
1210527,Sam Merrill,PG,CLE,3600,3.17,0,0,24,30,16.13,0,2,41,2.4,0,12,0,2,0,5.7,@BOS,145317,8.5,300,226.0,108.8,
1210528,Dariq Whitehead,SF,BKN,3500,3.84,0,0,15,30,4,4,2,0,1.6,0,15,0,0,0,4,@DEN,188430,9.5,360,229.0,109.8,
1210529,Noah Clowney,PF,BKN,3500,0,0,0,5,30,1.2,1.2,2,0,0,0,0,0,0,0,1.2,@DEN,188431,9.5,360,229.0,109.8,
1210530,Jalen Wilson,PF,BKN,3500,0,0,0,5,30,4.26,0.68,2,0,0,0,0,0,0,0,2.47,@DEN,188442,9.5,360,229.0,109.8,
1210531,Jordan Miller,SF,LAC,3500,0,0,0,6,30,2.55,0,2,53,0,0,0,0,0,0,2.5,vs GS,188445,0,0,0.0,0.0,
1210532,Ish Wainright,SF,POR,3500,0,0,0,30,30,11.65,0,2,59,0,0,0,0,0,0,1.5,vs UTA,158243,0,0,0.0,0.0,
1210533,Colby Jones,SG,SAC,3500,0,0,0,17,30,11.95,0,2,28.000000000000004,0,0,0,0,0,0,5.38,vs OKC,188448,-2,-130,243.0,122.5,
1210534,Oshae Brissett,SF,BOS,3500,0,0,0,24,30,16.99,2.25,2,74,0,0,0,0,0,0,5.97,vs CLE,117283,-8.5,-400,226.0,117.3,
1210535,Jalen Slawson,SF,SAC,3500,0,0,0,28,30,7.63,0,2,0,0,0,0,0,0,0,2.56,vs OKC,188449,-2,-130,243.0,122.5,
1210536,Vlatko Cancar,SF,DEN,3500,0,0,0,26,30,10.63,0,4,64,0,0,0,0,0,0,9.95,vs BKN,117285,-9.5,-500,229.0,119.3,
1210537,Leonard Miller,SF,MIN,3500,0,0,0,13,30,5.49,1.65,2,0,0,0,0,0,0,0,3.57,@DAL,188452,0,0,0.0,0.0,
1210538,Jaylen Clark,SG,MIN,3500,0,0,0,5,30,0,0,4,0,0,0,0,0,0,0,0,@DAL,188453,0,0,0.0,0.0,
1210539,Jalen Pickett,SG,DEN,3500,0,0,0,15,30,9.88,0,2,36,0,0,0,0,0,0,4.59,vs BKN,188458,-9.5,-500,229.0,119.3,
1210540,Hunter Tyson,PF,DEN,3500,0,0,0,8,30,2.18,0.19,2,0,0,0,0,0,0,0,1.19,vs BKN,188459,-9.5,-500,229.0,119.3,
1210541,Rayan Rupert,SG,POR,3500,0,0,0,27,30,5.12,0,2,0,0,0,0,0,0,0,1.89,vs UTA,188456,0,0,0.0,0.0,
1210542,Armoni Brooks,SG,BKN,3500,0,0,0,12,30,13.69,0,2,40,0,0,0,0,0,0,5.25,@DEN,117291,9.5,360,229.0,109.8,
1210543,Jordan Walsh,SF,BOS,3500,0,0,0,24,30,0,0,2,0,0,0,0,0,0,0,0,vs CLE,188457,-8.5,-400,226.0,117.3,
1210544,Emoni Bates,SF,CLE,3500,0,0,0,2,30,11.28,0,2,5,0,0,0,0,0,0,4.4,@BOS,188462,8.5,300,226.0,108.8,
1210545,Julian Phillips,SF,CHI,3500,0,0,0,21,30,4.72,0,2,70,0,0,0,0,0,0,2.36,@MIA,188463,0,0,0.0,0.0,
1210546,Onuralp Bitim,SG,CHI,3500,0,0,0,14,30,0,0,2,0,0,0,0,0,0,0,0,@MIA,190515,0,0,0.0,0.0,
1210547,Keyontae Johnson,SF,OKC,3500,0,0,0,12,30,0,0,2,0,0,0,0,0,0,0,0,@SAC,188468,2,110,243.0,120.5,
